Username,Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
bisurajcool,1,0.0,2,28,1,0,0,0,11,632,330,1
instagram,1,0.0,1,36,1,0,1,0,7351,612404522,44,1
cristiano,1,0.0,2,69,1,0,1,0,3450,555789034,552,1
leomessi,1,0.0,2,111,1,0,1,1,1005,437030316,290,1
selenagomez,1,0.0,2,78,1,0,1,0,1879,393687885,250,1
kyliejenner,1,0.0,1,48,1,0,1,0,6783,380115622,96,1
therock,1,0.0,2,7,1,0,1,0,7156,367197226,655,1
arianagrande,1,0.0,2,36,1,0,1,0,4982,359367850,590,1
kimkardashian,1,0.0,2,26,1,0,1,0,5783,347227270,223,1
beyonce,1,0.0,1,30,1,0,1,1,2060,299038295,0,1
khloekardashian,1,0.0,2,141,1,0,1,0,4205,296283964,106,1
justinbieber,1,0.0,2,53,1,0,1,0,7399,279976408,737,1
kendalljenner,1,0.0,1,9,0,0,1,0,647,277922392,229,1
nike,1,0.0,1,72,1,0,1,1,1073,275037601,150,1
natgeo,1,0.0,2,75,1,0,1,1,27807,263987185,140,1
taylorswift,1,0.0,2,24,1,0,1,0,564,247886824,0,1
virat.kohli,1,0.0,2,10,1,0,1,0,1528,239125918,265,1
jlo,1,0.0,2,18,1,0,1,1,672,236704355,1477,1
kourtneykardash,1,0.0,3,13,1,0,1,0,4435,214481011,147,1
nickiminaj,1,0.0,1,93,1,0,1,0,6455,212180550,641,1
neymarjr,1,0.0,2,15,1,0,1,0,5428,205924363,1707,1
